id,name,address,date,phone,email,excluded,approved,balance,countryId
1,Tomé Carvalho,"Largo Bruna Figueiredo, 82 9106-986 Évora",2001-10-26,911847296,tavaresclaudio@example.net,False,True,835826,PT
2,Jaime Faria,"Av Catarina Cruz, 37 2279-797 Santa Cruz",1968-07-02,(351) 223740485,gaspar25@example.net,False,True,427419,PT
3,Mafalda Mota,"R. Salomé Fernandes, 66 2024-658 Costa da Caparica",1935-05-17,(351) 923 645 726,leiteluis@example.org,False,True,798880,PT
4,Tomás Jesus,"Praça Loureiro, 3 3674-289 São João da Madeira",2002-12-23,(351) 915 557 781,qpires@example.net,False,False,133506,PT
5,Ariana Barbosa,"Travessa Constança Moreira, S/N 0784-676 Leiria",1988-11-30,(351) 915954760,cunhayasmin@example.net,False,True,472774,PT
6,Noah Antunes,"Av de Rodrigues de Freitas, 934 9051-710 Ponte de Sor",2000-06-23,(351) 929624246,estevesangela@example.org,False,True,328364,PT
7,Fabiana de Guerreiro,"Rua do Marechal Gomes da Costa, 929 4255-133 Almada",1944-11-03,292834323,margarida26@example.net,False,False,389015,PT
8,Gonçalo Pinto,"Rua Madrid, 28 6285-432 Fátima",1986-08-12,(351) 938818453,andreiabarbosa@example.org,False,True,433855,PT
9,Rafaela Gomes,"R. Ramos, 74 3564-281 Loures",1964-01-11,+351917309109,mirandanuno@example.com,False,True,511836,PT
10,Ivo Domingues,"Av Helena Fonseca, 71 0533-705 Montemor-o-Novo",1939-11-11,(351) 966839126,leandro79@example.org,False,True,122013,PT
11,Kelly Matias,"Travessa Cardoso, 799 9875-101 Mirandela",1999-01-28,+351914795546,biancamacedo@example.net,False,True,517194,PT
12,Miguel Martins,"Alameda de Cruz, 451 8067-169 Vila Nova de Famalicão",1953-01-08,(351) 256 250 021,franciscofaria@example.net,False,True,920313,PT
13,Mateus Gaspar,"R. da Arrábida, 14 6063-594 Mirandela",1962-02-17,920597114,freitaslarissa@example.org,False,False,4499,PT
14,Jéssica-Alexandra Pinho,"Rua Neves, 16 6555-691 Valbom",1986-03-27,+351261641221,teixeirasamuel@example.net,False,True,365107,PT
15,Fernando Almeida,"Av de Fontes Pereira de Melo, S/N 1920-426 Oliveira do Hospital",1990-12-01,+351927194999,fcampos@example.org,False,True,72415,PT
16,William Andrade,"Av do Prof. Ruy Luís Gomes, 303 5296-061 Ribeira Grande",1940-08-09,(351) 207 009 255,tbatista@example.net,True,True,680665,PT
17,Alexandre do Vaz,"Rua Luís Nascimento, 402 5456-212 Vila Nova de Famalicão",1942-05-28,(351) 915434660,clarasimoes@example.net,False,True,250328,PT
18,Isabela Carneiro,"Avenida de Silva, 73 7301-196 Estarreja",1969-10-07,+351912950905,matilde34@example.com,False,True,752522,PT
19,Nair Fernandes-Lopes,"R. Coelho, 663 4984-338 Trancoso",1946-08-24,(351) 921406582,amorimmiguel@example.com,False,True,262032,PT
20,Laura Pacheco,"R. Bárbara Torres, S/N 0836-701 Vizela",1963-03-23,(351) 928915278,miriammatos@example.net,False,True,668561,PT
21,Margarida Garcia,"Praça da Encarnação, 36 8579-344 Fundão",1980-11-22,924 495 921,ulima@example.org,False,True,721461,PT
22,Naiara do Ferreira,"Avenida de Carvalho, 8 7351-791 Macedo de Cavaleiros",1936-03-21,+351264404358,britoruben@example.net,False,True,677253,PT
23,Mário Neves,"Praça Batista, S/N 0499-402 Entroncamento",1987-02-16,(351) 913 531 111,frederico31@example.com,False,False,870927,PT
24,Caetana Ferreira,"Praça Neto, S/N 6755-145 Ponte de Sor",1948-04-07,(351) 913984828,orodrigues@example.com,False,True,277492,PT
25,Samuel Valente-Lima,"Travessa Araújo, 24 0753-826 Vila Nova de Foz Côa",1946-03-15,(351) 911 734 742,umonteiro@example.com,False,True,292657,PT
26,Flor Esteves,"R. Monteiro, 32 6214-908 Fafe",1937-01-15,(351) 911476173,fernandobatista@example.org,False,False,164977,PT
27,Tomás Nascimento,"Largo de S. Macário, 9 2525-272 Miranda do Douro",2001-11-20,269632112,carlotamatias@example.com,False,True,682975,PT
28,Sebastião Vaz,"Rua do Varejão, 228 6754-991 Vizela",1961-01-27,+351964607994,ajesus@example.net,False,False,727287,PT
29,Mariana Vicente,"Largo Alfredo Keil, 12 6063-742 Rio Maior",1939-03-28,265 773 875,coelhotiago@example.org,False,True,376569,PT
30,Rafael Freitas,"Alameda de Antero de Figueiredo, 5 7541-832 Angra do Heroísmo",1999-11-21,(351) 294 260 338,miguel71@example.com,False,True,102307,PT
31,Cristiano Nascimento,"Praça Núria Maia, 17 3839-219 Torres Vedras",1986-04-29,(351) 933458987,kpires@example.net,False,False,499976,PT
32,Wilson Matias,"Travessa Jesus, 90 0943-629 Montemor-o-Novo",1989-06-03,922 450 351,marcospaiva@example.com,False,True,372256,PT
33,Mara Andrade-Matias,"Alameda Caetana Leal, 25 8330-013 Santa Cruz",1966-07-28,(351) 938020859,miriammoreira@example.org,False,True,596745,PT
34,Letícia da Ribeiro,"Alameda Sara Carneiro, 4 4109-917 Gouveia",1962-07-28,+351910362085,arturmachado@example.net,False,True,184976,PT
35,Filipe Mota,"Alameda da Quinta de Santo António, 34 2733-477 Lourosa",1960-09-07,+351918537623,mourabianca@example.org,False,True,390221,PT
36,Ana Machado,"Avenida Pires, 440 7787-517 Agualva-Cacém",1959-07-23,(351) 938 108 092,bmoura@example.com,False,True,664721,PT
37,Noa Cruz,"Largo de Coelho, S/N 6198-433 Lisboa",1954-09-27,(351) 211709002,vcardoso@example.com,False,True,657072,PT
38,Carolina Branco,"Rua Cardoso, 752 6528-249 Moura",1989-06-14,(351) 932249669,araujoguilherme@example.org,False,True,657373,PT
39,Emília Neto,"Alameda Figueiredo, 32 9903-455 Oliveira do Hospital",1953-03-03,(351) 913 205 917,zjesus@example.org,False,True,165702,PT
40,Ema Jesus,"Travessa Martins, 56 6757-726 Lamego",1977-10-08,(351) 283 363 324,joana52@example.com,False,True,421453,PT
41,Luís Cunha,"Travessa Gaspar, 96 5757-471 Trancoso",1946-12-05,(351) 921713117,yaravaz@example.org,False,True,897639,PT
42,Bryan da Araújo,"Praça Vítor Barros, 372 9533-341 Gondomar",1985-02-17,(351) 223882904,naiara08@example.com,False,True,971354,PT
43,Bryan Neto-Pinto,"Av Ariana Costa, 8 2254-311 Fiães",1934-12-29,932 312 241,vmoreira@example.net,False,False,67279,PT
