id,name,address,birth_date,phone,email,excluded,approved,balance,country
77490,Bernardo do Faria,"R. Lúcia Esteves, 591 0782-901 Vila Nova de Santo André",1973-05-26,(351) 922 508 727,fariavictoria@example.net,False,True,496936,PT
15020,Ivan Figueiredo,"Rua Mauro Anjos, 9 7567-097 Sacavém",1992-03-12,(351) 919 464 423,mteixeira@example.org,False,True,126558,PT
6294,Cristiano Cardoso,"Praça Branco, 66 2841-149 Porto",1980-05-13,967 335 617,jessicaamorim@example.org,True,True,566551,PT
3782,Isabela Reis,"Avenida Margarida Nascimento, 56 3908-369 Gondomar",1975-09-30,(351) 964799289,miguelfreitas@example.net,False,True,999047,PT
3947,Marta Miranda,"Avenida de Vímara Peres, 9 8130-080 Lagos",2022-02-03,(351) 924549316,saratavares@example.com,False,True,22898,PT
47371,Larissa de Esteves,"Travessa Ribeiro, 58 7721-331 Gafanha da Nazaré",1977-08-18,(351) 925 777 609,enzolourenco@example.net,False,True,212944,PT
13663,Emília-Sofia Anjos,"R. Maia, 61 1350-437 Sines",1993-03-23,966202832,tiagoloureiro@example.net,False,False,556524,PT
73763,Yasmin Miranda,"Travessa Ângelo Miranda, 66 6943-278 Estarreja",2012-07-07,247 337 344,williamtavares@example.com,False,False,142097,PT
81604,Lorena Miranda-Silva,"R. Macedo, S/N 5137-972 Angra do Heroísmo",1995-05-18,(351) 930545760,tleal@example.com,False,True,513687,PT
96986,Benedita Lima,"Alameda Tiago Rocha, 38 2750-706 Tomar",2012-09-20,(351) 290 681 482,helenaesteves@example.org,False,True,855804,PT
79978,Caetana Machado,"Alameda Rafaela Vicente, 2 1328-303 Caniço",1989-05-05,(351) 936 379 500,ajesus@example.com,False,True,347633,PT
29352,Igor Gomes,"Rua Pacheco, 769 5554-616 Portimão",2006-05-08,(351) 968714974,umachado@example.org,False,True,803185,PT
94220,Lorena Cruz,"R. Vítor Oliveira, 2 6971-793 Ílhavo",1984-05-02,(351) 245 502 447,jesusmanuel@example.net,False,True,390946,PT
28975,César Figueiredo-Borges,"R. de Ramos, 8 8638-078 Vale de Cambra",1995-08-31,(351) 924864874,isabelabrito@example.org,False,True,608793,PT
70207,Adriana Torres,"Largo Coronel Marques Júnior, 553 7321-679 Santarém",1982-02-12,916705584,pamorim@example.com,False,True,838460,PT
18977,Marco Alves,"Avenida de Matias, 45 9681-508 Albufeira",1992-12-30,+351920407358,uferreira@example.com,False,True,323877,PT
99422,Naiara Leite,"Alameda de Ferreira, S/N 8029-524 Rio Maior",2021-12-24,914466995,dominguesbarbara@example.org,False,True,201987,PT
59044,Luísa-Lorena Domingues,"Travessa Sousa, 78 3576-887 Peso da Régua",1976-04-27,(351) 270922254,guilherme79@example.com,False,True,614780,PT
88438,Valentim do Silva,"Alameda de D. Carlos I, 40 2607-638 Montemor-o-Novo",2007-06-27,(351) 937606815,carvalhopetra@example.org,False,True,334412,PT
74397,António de Baptista,"R. do Brasil (Porto), 11 8473-850 Esposende",1972-08-30,938052944,vera05@example.org,False,True,601877,PT
84264,Artur Oliveira,"Largo da Quinta de São João Baptista, 49 9384-203 Mealhada",1990-12-20,932580999,machadoyasmin@example.net,False,True,850398,PT
17803,Victória Vieira-Costa,"Av Pinheiro, 5 3126-939 Almeirim",1981-02-21,(351) 925942041,fernandogarcia@example.net,False,True,730050,PT
28036,Renato Macedo,"Largo Prof. António de Sousa Franco, 37 2077-147 Horta",1988-10-11,(351) 274154175,valentina42@example.net,False,False,490068,PT
68816,Emma Henriques,"Av de Almeida, S/N 8606-222 Viseu",1979-08-26,+351915609966,lorenapinto@example.net,False,True,448353,PT
33130,Dinis Oliveira,"Travessa do Meiral, 897 6994-961 Fiães",1989-03-26,(351) 916 572 102,fabiomagalhaes@example.org,False,False,941711,PT
82183,Emma-Margarida Domingues,"Rua Antunes, 55 8999-167 Castelo Branco",1995-11-18,932 679 756,tometeixeira@example.org,True,True,166113,PT
87939,Violeta Sousa,"Praça dos Guindais, 30 0091-938 Silves",1985-07-28,(351) 967 893 283,pachecorui@example.org,False,True,444818,PT
82895,Nádia Alves,"Praça de Simões, 97 2220-107 Elvas",1981-06-03,(351) 915976777,tneto@example.org,False,True,653393,PT
2804,Brian Araújo,"Avenida de Cunha, 60 7485-299 Montijo",1978-07-27,(351) 296 989 109,ucoelho@example.org,False,True,29429,PT
14117,Matilde Neto,"Avenida Carvalho, 63 4174-929 Vila Nova de Famalicão",2019-04-29,(351) 936 769 747,paulonunes@example.com,False,True,207900,PT
68102,Íris Cardoso,"Rua do Báltico, S/N 0530-257 Loures",2003-11-07,926 459 233,luciasimoes@example.org,False,True,425724,PT
69656,Renato Ramos,"Praça de Figueiredo, 378 8218-327 Elvas",2020-03-26,+351919870363,goliveira@example.org,False,True,862283,PT
86778,Sebastião Sousa,"Avenida Cardoso, 92 2400-824 Vila Real",1976-01-31,(351) 280 743 077,nascimentoemanuel@example.net,False,False,454572,PT
36460,Filipe Esteves,"Alameda de Cruz, 12 1685-950 Vizela",2020-01-08,276 542 059,guilhermemaia@example.net,False,True,713146,PT
94034,Brian de Moreira,"Travessa Adriana Borges, 24 6333-984 Gafanha da Nazaré",1989-02-24,961 333 675,alice79@example.net,False,True,510985,PT
15043,Iara de Tavares,"R. de Santos, 21 2761-136 Santiago do Cacém",2014-02-19,(351) 912422594,lourenco53@example.org,False,True,917176,PT
96354,Teresa Jesus,"R. Mara Barbosa, 62 1754-960 Bragança",1975-10-30,+351237095689,sararibeiro@example.net,False,True,383184,PT
86678,Bárbara Fernandes,"Rua Clara Nunes, 7 8018-270 Costa da Caparica",1976-04-05,+351916161022,mrocha@example.org,False,True,773845,PT
